restaurant_id,name,cuisine_primary,cuisine_tags,address_full,area,city,country,phone,rating_overall,rating_google,rating_tripadvisor,review_count_total,review_count_google,review_count_tripadvisor,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_percent,star_4_percent,star_3_percent,star_2_percent,star_1_percent,price_category,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,delivery_available,outdoor_seating,reservation_required,cash_only,credit_cards_accepted,wifi_available,wheelchair_accessible,takeaway_available,parking_available,live_music,pet_friendly,kids_friendly,menu_items,menu_link,website,data_source,source_url,scraped_date,last_updated
src3_367,The original Knafeh,Unknown,Unknown,"VFJR+5VR, Corniche el Mazra'a, Nakad Streed Hachem Facing Sakanet Emile Helou, Beirut Lebanon",VFJR+5VR,Beirut,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://theoriginalknafeh.com/,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d26344127-Reviews-The_original_Knafeh-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_368,Tony's,Unknown,Unknown,"Old Town Steps Accessible From The Marina Road. Blue Windows, Tyre Lebanon",Old Town Steps Accessible From The Marina Road. Blue Windows,Tyre,Lebanon,,4.1,,4.1,38,0,38,6,0,2,2,0,60.0,0.0,20.0,20.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g7892679-d12097278-Reviews-Tony_s-Tyre_South_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_369,Totori,Unknown,Unknown,"513 Clemenceau, Beirut, Lebanon 513 Mir Omar Street, Beirut Lebanon",513 Clemenceau,Beirut,Lebanon,,5.0,,5.0,8,0,8,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://menu.omegasoftware.ca/totoriasianrestaurant,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d32744495-Reviews-Totori-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_370,Tramway Batroun,Unknown,Unknown,"Batroun Old Souks, Batroun Lebanon",Unknown,Batroun,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g1943861-d26786027-Reviews-Tramway_Batroun-Batroun_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_371,Tsunami,Unknown,Unknown,"Abou Rizk Building, Abdel Wahab El Englizi Street Ashrafieh, Beirut Lebanon",Abou Rizk Building,Beirut,Lebanon,,4.0,,4.0,160,0,160,2,0,1,0,2,40.0,0.0,20.0,0.0,40.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.sushitsunami.com/,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d795921-Reviews-Tsunami-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_372,Twins Burgers,Unknown,Unknown,"Dam el Farez Street 32, Tripoli, Lebanon, Tripoli Lebanon",Dam el Farez Street 32,Tripoli,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d19179033-Reviews-Twins_Burgers-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_373,Tyros Resort,Unknown,Unknown,"Sour Main Road, Al-Naqoura Iskandarounah, Naqoura Lebanon",Sour Main Road,Tyre,Lebanon,,4.7,,4.7,6,0,6,3,1,0,0,0,75.0,25.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://www.facebook.com/tyros.resort/,source3,https://www.tripadvisor.com/Restaurant_Review-g1208952-d14057583-Reviews-Tyros_Resort-Naqoura_South_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_374,Ummi,Unknown,Unknown,Beirut 00961 Lebanon,Unknown,Beirut,Lebanon,,4.2,,4.2,49,0,49,2,2,0,1,0,40.0,40.0,0.0,20.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,TRUE,,,https://www.facebook.com/UMMI-109378906391080/?fref=mentions,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d13281515-Reviews-Ummi-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_375,Un Petit Gato,Unknown,Unknown,"37 Rue Vieux Port, Byblos Lebanon",37 Rue Vieux Port,Byblos,Lebanon,,5.0,,5.0,2,0,2,2,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.unpetitgato.com,source3,https://www.tripadvisor.com/Restaurant_Review-g298264-d33396650-Reviews-Un_Petit_Gato-Byblos_Mount_Lebanon_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_376,Una Pizza,Unknown,Unknown,"32nd Street, Tripoli 00902 Lebanon",32nd Street,Tripoli,Lebanon,,4.5,,4.5,31,0,31,4,6,0,0,0,40.0,60.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://una-pizza.net/,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d4148801-Reviews-Una_Pizza-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
